操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821088,30,25,17,19,13,28,15,24,51,7,30,11,30,14,12,6,12,16,36,12,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,19,43,0,0,0,1,0,0,0,0,1,17,14,9,20,97,9,0,22,2,3,35,26,1,0,0,0,0,1,0,0,1,1,20,4,0,0,1,0,22,96,54,27,2,13,2,0,0,4,0,0,欠,欠,欠,
1821090,欠,欠,欠,欠,欠,10,0,0,51,33,0,56,0,11,138,0,2,67,74,0,0,1,2,4,123,0,0,31,140,81,187,79,0,0,0,1,19,33,28,4,12,4,57,56,6,1,0,4,1,欠,66,99,90,182,207,33,0,12,14,88,32,76,0,33,0,0,127,46,80,0,11,33,14,2,34,3,18,95,15,22,47,0,36,39,1,128,59,2,欠,欠,欠,
1821093,0,0,0,0,0,0,33,17,0,39,0,0,38,0,141,0,0,18,88,0,0,0,0,0,51,18,0,81,112,0,162,48,0,0,31,0,0,0,0,0,12,0,0,108,0,0,0,0,5,11,26,30,3,0,0,0,0,0,19,0,65,34,0,0,0,80,0,0,0,0,0,0,0,0,56,67,8,69,12,33,0,0,67,0,105,70,欠,欠,0,欠,欠,
1821096,17,0,0,0,4,0,46,11,21,44,17,43,20,0,24,119,77,0,28,53,22,8,0,10,38,88,4,47,187,16,38,49,0,5,65,0,0,0,0,37,9,4,1,66,20,11,3,6,3,4,0,77,59,53,52,115,80,0,0,37,1,23,0,64,73,1,76,27,60,6,10,22,46,71,1,39,2,24,21,0,13,0,0,90,27,47,101,110,欠,欠,欠,
1821097,欠,欠,欠,欠,欠,8,10,0,4,4,0,欠,11,0,7,7,0,15,19,0,0,5,0,0,5,9,0,0,4,19,12,50,39,34,11,6,5,14,30,19,欠,23,22,37,25,19,17,7,23,19,30,34,18,28,24,20,6,7,26,2,2,17,1,19,11,0,4,10,26,2,0,13,4,0,9,5,2,25,2,0,5,15,17,0,0,25,15,欠,欠,欠,欠,
1821098,欠,欠,欠,欠,欠,欠,欠,欠,欠,27,22,55,0,0,1,86,3,55,42,0,0,0,1,0,1,70,0,0,60,65,0,77,2,0,0,0,25,28,3,0,0,0,0,77,14,1,0,0,1,15,9,89,71,90,105,41,0,0,0,0,0,58,42,45,15,0,82,0,29,12,1,7,45,0,0,22,28,11,36,0,0,0,23,57,0,75,59,0,欠,欠,欠,
1821099,20,0,0,0,2,欠,21,欠,80,110,73,欠,51,58,0,0,0,73,19,0,2,0,0,0,100,1,13,152,134,34,157,0,0,12,14,0,0,0,2,欠,31,0,27,116,27,2,0,欠,39,104,174,18,2,66,86,65,109,74,50,2,67,4,19,58,欠,3,43,60,42,0,92,138,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821101,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,20,29,24,8,0,0,0,0,0,0,0,12,84,29,0,0,0,0,1,0,0,0,26,0,0,0,0,11,50,9,0,1,59,15,0,0,0,欠,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,44,35,0,21,0,0,3,0,0,0,0,0,9,5,59,11,0,欠,
1821102,0,0,0,0,0,0,43,0,0,27,0,50,0,0,75,70,0,47,74,0,0,0,3,0,19,83,0,51,168,0,44,125,2,0,41,0,11,5,21,24,2,0,1,101,17,1,0,0,17,0,0,131,165,130,118,44,0,31,0,19,0,48,0,87,2,1,78,0,33,0,26,0,31,2,34,12,14,84,72,99,48,66,64,8,25,67,185,8,欠,欠,欠,
1821104,欠,欠,欠,欠,欠,9,37,0,38,0,30,0,0,43,66,0,25,64,0,0,0,0,0,0,75,0,10,154,0,36,103,0,0,0,0,35,0,0,0,0,9,0,74,16,0,0,0,0,0,0,84,168,139,153,9,0,0,0,18,0,46,0,0,61,0,77,0,0,0,30,0,45,0,0,28,0,0,0,0,0,0,0,36,44,41,150,0,欠,欠,欠,欠,
